下記の運航用飛行場予報気象通報式(TAF)において、日本時間21日午前9時の 地上視程の予報で正しいものはどれか。," 6,000m"," 4,000m"," 3,000m"," 1,500m",,1,201903,航空気象,17,TAF RJFR 192309Z 2000/2106 09020KT 6000 -RA FEW005 SCT010 BKN015TEMPO 2003/2010 09020G30KT 3000 RA BRBECMG 2010/2012 06017KTTEMPO 2012/2015 1500 +SHRA BR FEW003 BKN006 BKN010 BECMG 2012/2015 31014KTTEMPO 2015/2018 4000 SHRA BR FEW003 BKN006 BKN010,
地上天気図において高気圧を示す記号で正しいものはどれか。,H,L,TD,T,,1,201903,航空気象,18,,
右の地上天気図における解析時刻で正しいものはどれか。ただし日本の日時とする。,12日21時00分,12日12時00分,12日09時00分,12日03時00分,,1,201903,航空気象,19,,TRUE
地上天気図に使用される海上警報「TW」で正しいものはどれか。,一般警報,強風警報,暴風警報,台風警報,,4,201903,航空気象,20,,
ガスト・ロックの説明で誤りはどれか。,停留中の航空機が突風にあおられて操縦翼面がばたつき、破損しないようにする。,安全のため、ガスト・ロック状態で飛行しても操縦できる。,人力操縦の小型機では操縦桿をロック・アッセンブリで固定する。,飛行中に誤操作が出来ないようにしてある。,,2,201903,構造,1,,
チューブレス・タイヤの特徴で誤りはどれか。,全体の重量を軽く出来る。,内側および外側車輪の合わせ面からの空気漏れが発生することはない。,パンクの頻度が少ない。,チューブに関する不具合がない。,,2,201903,構造,2,,
材料の疲れ限度を上昇させる要素で誤りはどれか。,高周波焼入れ,浸炭処理,表面圧延,メッキ処理,,4,201903,構造,3,,
耐空性審査要領の定義で誤りはどれか。,「設計最大重量」とは、構造設計において滑走時の荷重を求めるために用いる最大航空機重量をいう。,「設計最小重量」とは、構造設計において飛行荷重を求めるために用いる最小航空機重量をいう。,「設計離陸重量」とは、構造設計において地上滑走及び小さい降下率での着陸に対する荷重を求めるために用いる最大航空機重量をいう。,「設計着陸重量」とは、構造設計において最大降下率での 着陸荷重を求めるために用いる最大航空機重量をいう。,,1,201903,構造,4,,
非常脚下げ装置の説明で誤りはどれか。,ランディング・ギアのアップ・ダウン(上げ下げ)に要する主動力系統が故障した場合、アップしているギアをダウンする為に使用される。,通常、操縦席にはエマージェンシ・リリース・ハンドルが装備されており、ドアとギアのロックを解除するために使用される。,非常脚下げ装置の第2の目的は、着陸時、操縦者が脚下げを失念している場合、定められた高度まで降下すると自動的に脚を下げることである。,電気式脚引き込み装置では、手動ハンドルを回して脚下げを行うことが出来る。,,3,201903,構造,5,,
人力操縦装置の説明で誤りはどれか。,操縦者の加える力と操作量を、機械的に操縦翼面に伝える方式である。,安価で工作や整備が容易であり、軽量で動力源を必要としない。,信頼性が高いため、遷音速・超音速で飛行する航空機に用いられる。,小・中型機に広く用いられる方式である。,,3,201903,構造,6,,
